epoch, accuracy, loss, val_accuracy, val_loss
0, 0.893488883972168, 1.4785867929458618, 0.9685999751091003, 1.1637734174728394
1, 0.9677777886390686, 1.0671961307525635, 0.9769999980926514, 0.9724191427230835
2, 0.9759777784347534, 0.8944304585456848, 0.9801999926567078, 0.8235857486724854
3, 0.9797999858856201, 0.7582514882087708, 0.9824000000953674, 0.7043501734733582
4, 0.9825555682182312, 0.6467615365982056, 0.9833999872207642, 0.6063959002494812
5, 0.984333336353302, 0.5547635555267334, 0.9833999872207642, 0.5244925022125244
6, 0.9861778020858765, 0.4783551096916199, 0.9842000007629395, 0.45693328976631165
7, 0.9873111248016357, 0.4150761663913727, 0.984000027179718, 0.40175101161003113
8, 0.9882444739341736, 0.3623224198818207, 0.984000027179718, 0.3544219732284546
9, 0.988955557346344, 0.318158894777298, 0.9837999939918518, 0.31568437814712524
10, 0.9898222088813782, 0.28158116340637207, 0.984000027179718, 0.2827516794204712
11, 0.9904666543006897, 0.2509100139141083, 0.9843999743461609, 0.2550230920314789
12, 0.9909777641296387, 0.22532984614372253, 0.9843999743461609, 0.23225872218608856
13, 0.9914222359657288, 0.20395158231258392, 0.9850000143051147, 0.2129087895154953
14, 0.9918222427368164, 0.18599210679531097, 0.9846000075340271, 0.19721055030822754
15, 0.9918000102043152, 0.17106448113918304, 0.9850000143051147, 0.1842135637998581
16, 0.9920444488525391, 0.15854085981845856, 0.9847999811172485, 0.17427419126033783
17, 0.9922888875007629, 0.14799776673316956, 0.98580002784729, 0.1642344892024994
18, 0.9925333261489868, 0.13911330699920654, 0.9851999878883362, 0.15640738606452942
19, 0.9925777912139893, 0.13165095448493958, 0.9851999878883362, 0.1499962955713272
20, 0.9927555322647095, 0.12546247243881226, 0.9855999946594238, 0.14440523087978363
21, 0.992888867855072, 0.1202303096652031, 0.9860000014305115, 0.13966020941734314
22, 0.9931777715682983, 0.11581312865018845, 0.9861999750137329, 0.1360708326101303
23, 0.9932888746261597, 0.11209198087453842, 0.9860000014305115, 0.13343854248523712
24, 0.9933111071586609, 0.10900772362947464, 0.9861999750137329, 0.1301427185535431
25, 0.9933555722236633, 0.10624579340219498, 0.98580002784729, 0.1286388635635376
26, 0.9937999844551086, 0.10397547483444214, 0.9855999946594238, 0.12724833190441132
27, 0.993755578994751, 0.10212954878807068, 0.9855999946594238, 0.1253349483013153
28, 0.9937333464622498, 0.10053186118602753, 0.9855999946594238, 0.12385297566652298
29, 0.9938222169876099, 0.0991545021533966, 0.9847999811172485, 0.12302567064762115
30, 0.9937777519226074, 0.09791111201047897, 0.9854000210762024, 0.12252289056777954
31, 0.9939333200454712, 0.09684474766254425, 0.9843999743461609, 0.1223798617720604
32, 0.99391108751297, 0.09605240821838379, 0.9850000143051147, 0.1203775629401207
33, 0.9939333200454712, 0.09515174478292465, 0.9850000143051147, 0.12078983336687088
34, 0.9942444562911987, 0.09441688656806946, 0.9850000143051147, 0.1197156012058258
35, 0.9942222237586975, 0.0938936397433281, 0.9854000210762024, 0.11877492815256119
36, 0.9942888617515564, 0.09340433031320572, 0.9847999811172485, 0.11853822320699692
37, 0.9942666888237, 0.0929853543639183, 0.9847999811172485, 0.11907126754522324
38, 0.994422197341919, 0.0924585610628128, 0.9854000210762024, 0.11772406101226807
39, 0.9943555593490601, 0.09210894256830215, 0.9854000210762024, 0.11803228408098221
40, 0.9945111274719238, 0.0918370857834816, 0.9850000143051147, 0.11834795773029327
41, 0.9942888617515564, 0.09154612571001053, 0.9851999878883362, 0.11804632842540741
42, 0.9946222305297852, 0.0912543386220932, 0.9851999878883362, 0.11748077720403671
43, 0.9945777654647827, 0.09100814163684845, 0.9850000143051147, 0.11727289855480194
44, 0.9945111274719238, 0.09085104614496231, 0.9851999878883362, 0.11706433445215225
45, 0.9944444298744202, 0.09072208404541016, 0.9850000143051147, 0.11753376573324203
46, 0.994533360004425, 0.09051627665758133, 0.9847999811172485, 0.1169416755437851
47, 0.9946222305297852, 0.09040498733520508, 0.9854000210762024, 0.11670079082250595
48, 0.9945999979972839, 0.09025797992944717, 0.9847999811172485, 0.11637549102306366
49, 0.994533360004425, 0.09004926681518555, 0.9851999878883362, 0.11674298346042633
