dataset_name,dataset_size,dataset_offset,dataset_file,dataset_fmt,image_width,image_height,model_dir,rnd_seed_search,batch_size_search,perturb_bn,perturb_ratio,search_mode,max_iteration,err_num_search,rnd_seed_measure,batch_size_measure,err_thr,err_thr_practical,delta,delta0_ratio,perturb_sample_size,err_num_random,err_num,test_err_wst,test_err_avr,gen_risk_ub,test_risk_ub,conf_risk,conf0_risk,non_det_rate_ub,gen_err_thr_ub,gen_err_ub,test_err_ub,test_err,conf_err,conf0_err
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0, 1, 20, 0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 12, 12, 0.012, 0.012, 0.020946756524359535, 0.012, 0.9, 1, 1, 0, 0.020946756524359535, 0.012, 0.012, 0.9, 1
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.001, 1, 20, 14, 1, 0, 0.01, 0.00999985728335162, 0.1, 0.5, 984, 0, 14, 0.0, 0.0, 0.025113502054564505, 0.014, 0.9, 0.95, 1.0, 0.01, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.002, 1, 20, 14, 1, 0, 0.01, 0.00999985728335162, 0.1, 0.5, 984, 0, 14, 0.0, 0.0, 0.025113502054564505, 0.014, 0.9, 0.95, 1.0, 0.01, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.003, 1, 20, 17, 1, 0, 0.01, 0.009996791463009136, 0.1, 0.5, 984, 0, 17, 0.0, 0.0, 0.029003021608639407, 0.017, 0.9, 0.95, 1.0, 0.01, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.005, 1, 20, 25, 1, 0, 0.01, 0.009998680268249904, 0.1, 0.5, 983, 0, 25, 0.0, 0.0, 0.03903047633985208, 0.025, 0.9, 0.95, 1.0, 0.01, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.007, 1, 20, 34, 1, 0, 0.01, 0.009999461951617383, 0.1, 0.5, 982, 0, 34, 0.0, 0.0, 0.049923486129778635, 0.034, 0.9, 0.95, 0.9768991699893235, 0.009768991699893235, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.01, 1, 20, 54, 1, 0, 0.01, 0.009998631885904441, 0.1, 0.5, 980, 0, 54, 0.0, 0.0, 0.07329039310116109, 0.054, 0.9, 0.95, 0.9599845020429574, 0.009599845020429574, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.02, 1, 20, 192, 1, 0, 0.01, 0.009991505695281178, 0.1, 0.5, 965, 0, 192, 0.0, 0.0, 0.2236821990189352, 0.192, 0.9, 0.95, 0.8337622236296454, 0.008337622236296454, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.03, 1, 20, 457, 1, 0, 0.01, 0.009996019580872817, 0.1, 0.5, 925, 0, 457, 0.0, 0.0, 0.4956728426198551, 0.457, 0.9, 0.95, 0.5766344077538991, 0.0057663440775389905, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.05, 1, 20, 903, 1, 0, 0.01, 0.009990139365126716, 0.1, 0.5, 754, 0, 903, 0.0, 0.0, 0.9242964456772509, 0.903, 0.9, 0.95, 0.1183151353629392, 0.001183151353629392, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.07, 1, 20, 999, 1, 0, 0.01, 0.009969146792899286, 0.1, 0.5, 299, 0, 999, 0.0, 0.0, 1.0, 0.999, 0.9, 0.95, 0.004880220293998835, 4.880220293998835e-05, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.1, 1, 20, 1000, 1, 0, 0.01, 0, 0.1, 0.5, 0, 0, 1000, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.2, 1, 20, 1000, 1, 0, 0.01, 0, 0.1, 0.5, 0, 0, 1000, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, N/A, N/A, N/A, N/A, N/A
