dataset_name,dataset_size,dataset_offset,dataset_file,dataset_fmt,image_width,image_height,model_dir,rnd_seed_search,batch_size_search,perturb_bn,perturb_ratio,search_mode,max_iteration,err_num_search,rnd_seed_measure,batch_size_measure,err_thr,err_thr_practical,delta,delta0_ratio,perturb_sample_size,err_num_random,err_num,test_err_wst,test_err_avr,gen_risk_ub,test_risk_ub,conf_risk,conf0_risk,non_det_rate_ub,gen_err_thr_ub,gen_err_ub,test_err_ub,test_err,conf_err,conf0_err
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.3, 1, 20, 1000, 1, 0, 0.01, 0, 0.1, 0.5, 0, 0, 1000, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.5, 1, 20, 1000, 1, 0, 0.01, 0, 0.1, 0.5, 0, 0, 1000, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 0.7, 1, 20, 1000, 1, 0, 0.01, 0, 0.1, 0.5, 0, 0, 1000, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 1.0, 1, 20, 1000, 1, 0, 0.01, 0, 0.1, 0.5, 0, 0, 1000, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 2.0, 1, 20, 1000, 1, 0, 0.01, 0, 0.1, 0.5, 0, 0, 1000, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 3.0, 1, 20, 1000, 1, 0, 0.01, 0, 0.1, 0.5, 0, 0, 1000, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 5.0, 1, 20, 1000, 1, 0, 0.01, 0, 0.1, 0.5, 0, 0, 1000, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 7.0, 1, 20, 1000, 1, 0, 0.01, 0, 0.1, 0.5, 0, 0, 1000, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 10, 0, 10.0, 1, 20, 1000, 1, 0, 0.01, 0, 0.1, 0.5, 0, 0, 1000, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, N/A, N/A, N/A, N/A, N/A
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.001, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 12, 12, 0.012, 0.012, 0.022464029009007822, 0.012, 0.9, 0.95, 1.0, 0.01, 0.045025920284218014, 0.0225530868706852, 0.012, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.002, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 12, 12, 0.012, 0.012, 0.022464029009007822, 0.012, 0.9, 0.95, 1.0, 0.01, 0.045025920284218014, 0.0225530868706852, 0.012, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.003, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 12, 12, 0.012, 0.012, 0.022464029009007822, 0.012, 0.9, 0.95, 1.0, 0.01, 0.045025920284218014, 0.0225530868706852, 0.012, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.005, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 12, 12, 0.012, 0.011998985801217039, 0.022464029009007822, 0.012, 0.9, 0.95, 1.0, 0.01, 0.04502406137986113, 0.022551727368546538, 0.011998985801217039, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.007, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 13, 13, 0.013, 0.011981744421906694, 0.023795224533493347, 0.013, 0.9, 0.95, 1.0, 0.01, 0.04499245439318322, 0.02252861353558171, 0.011981744421906694, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.01, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 14, 14, 0.014, 0.011962474645030426, 0.025113502054564505, 0.014, 0.9, 0.95, 1.0, 0.01, 0.04495711637284251, 0.022502775286763855, 0.011962474645030426, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.02, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 14, 14, 0.014, 0.011974645030425963, 0.025113502054564505, 0.014, 0.9, 0.95, 1.0, 0.01, 0.04497943666705718, 0.02251909481277385, 0.011974645030425963, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.03, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 14, 14, 0.014, 0.01197160243407708, 0.025113502054564505, 0.014, 0.9, 0.95, 1.0, 0.01, 0.0449738570901592, 0.02251501513450347, 0.01197160243407708, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.05, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 15, 15, 0.015, 0.01188843813387424, 0.026420183221875174, 0.015, 0.9, 0.95, 1.0, 0.01, 0.04482122006345563, 0.022403451306611685, 0.01188843813387424, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.07, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 16, 16, 0.016, 0.011892494929006086, 0.02771637630614589, 0.016, 0.9, 0.95, 1.0, 0.01, 0.04482867154722863, 0.022408895807947297, 0.011892494929006086, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.1, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 25, 25, 0.025, 0.01179817444219067, 0.03903047633985208, 0.025, 0.9, 0.95, 1.0, 0.01, 0.04465527026882783, 0.02228224800943162, 0.01179817444219067, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.2, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 49, 49, 0.049, 0.012615618661257606, 0.06752883385533225, 0.049, 0.9, 0.95, 1.0, 0.01, 0.046147671912334716, 0.023375603508075545, 0.012615618661257606, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.3, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 84, 84, 0.084, 0.014464503042596348, 0.10712874884625569, 0.084, 0.9, 0.95, 1.0, 0.01, 0.04944425496250541, 0.025816292979685664, 0.014464503042596348, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.5, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 293, 293, 0.293, 0.022205882352941176, 0.32900722215743217, 0.293, 0.9, 0.95, 1.0, 0.01, 0.062381676512405754, 0.035683102809496874, 0.022205882352941176, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 0.7, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 624, 624, 0.624, 0.03948478701825558, 0.660944365821825, 0.624, 0.9, 0.95, 1.0, 0.01, 0.08842709244900311, 0.056559248837098536, 0.03948478701825558, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 1.0, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 992, 992, 0.992, 0.09215720081135903, 1.0, 0.992, 0.9, 0.95, 1.0, 0.01, 0.158258246631884, 0.11634900917392127, 0.09215720081135903, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 2.0, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 1000, 1000, 1.0, 0.4567555780933063, 1.0, 1.0, 1.0, 1.0, 0, 0, 0.5552885296958808, 0.49570174629770675, 0.4567555780933063, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 3.0, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 1000, 1000, 1.0, 0.71402738336714, 1.0, 1.0, 1.0, 1.0, 0, 0, 0.7976950164349974, 0.7483386039245775, 0.71402738336714, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 5.0, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 1000, 1000, 1.0, 0.8563488843813387, 1.0, 1.0, 1.0, 1.0, 0, 0, 0.9170804536082372, 0.8822264888028739, 0.8563488843813387, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 7.0, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 1000, 1000, 1.0, 0.885051724137931, 1.0, 1.0, 1.0, 1.0, 0, 0, 0.938951497884552, 0.9083456261694192, 0.885051724137931, 0.9, 0.95
mnist, 1000, 0, N/A, N/A, N/A, N/A, cnn_s, 1, 1000, 0, 10.0, N/A, N/A,  0, 1, 0, 0.01, 0.00999383145844357, 0.1, 0.5, 986, 1000, 1000, 1.0, 0.8947139959432049, 1.0, 1.0, 1.0, 1.0, 0, 0, 0.9460551459044849, 0.9170342202330722, 0.8947139959432049, 0.9, 0.95
