dataset_name,dataset_size,dataset_offset,dataset_file,dataset_fmt,image_width,image_height,model_dir,rnd_seed_search,batch_size_search,perturb_bn,perturb_ratio,search_mode,max_iteration,err_num_search,rnd_seed_measure,batch_size_measure,err_thr,err_thr_practical,delta,delta0_ratio,perturb_sample_size,err_num_random,err_num,test_err_wst,test_err_avr
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,0,0,20,0,1,0,0.01,0.009995888447909884,0.1,0.5,1146,186,186,0.0372,0.0372
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,0.01,0,20,1261,1,0,0.01,0.009996526219660407,0.1,0.5,1117,0,1261,0.0,0.0
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,0.1,0,20,4992,1,0,0.01,0.009999518152602471,0.1,0.5,505,0,4992,0.0,0.0
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,1.0,0,20,5000,1,0,0.01,0,0.1,0.5,0,0,5000,0,0
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,0.01,N/A,N/A, 0,1,0,0.01,0.009995888447909884,0.1,0.5,1146,207,207,0.0414,0.037520767888307154
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,0.1,N/A,N/A, 0,1,0,0.01,0.009995888447909884,0.1,0.5,1146,384,384,0.0768,0.03840994764397906
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,1.0,N/A,N/A, 0,1,0,0.01,0.009995888447909884,0.1,0.5,1146,5000,5000,1.0,0.26888219895287957
