epoch, accuracy, loss, val_accuracy, val_loss
0, 0.8703333139419556, 0.4363742172718048, 0.9430000185966492, 0.20107212662696838
1, 0.945111095905304, 0.18712589144706726, 0.9588000178337097, 0.14646118879318237
2, 0.9609110951423645, 0.1355719119310379, 0.9642000198364258, 0.12258381396532059
3, 0.9699333310127258, 0.10515787452459335, 0.9688000082969666, 0.11060434579849243
4, 0.9770444631576538, 0.083859384059906, 0.9710000157356262, 0.10346648842096329
5, 0.9821333289146423, 0.06801604479551315, 0.9718000292778015, 0.09846820682287216
6, 0.9862222075462341, 0.0555959977209568, 0.9721999764442444, 0.09527277201414108
7, 0.9893333315849304, 0.04560666158795357, 0.9715999960899353, 0.09373412281274796
8, 0.9920222163200378, 0.03729996085166931, 0.9718000292778015, 0.09247062355279922
9, 0.994422197341919, 0.030469192191958427, 0.9724000096321106, 0.09218426793813705
10, 0.9960444569587708, 0.024869680404663086, 0.9728000164031982, 0.09219615161418915
11, 0.9973777532577515, 0.02029615454375744, 0.9728000164031982, 0.093004010617733
12, 0.9982888698577881, 0.016620226204395294, 0.9729999899864197, 0.09343978017568588
13, 0.998977780342102, 0.013647752813994884, 0.9732000231742859, 0.09463752806186676
14, 0.9993333220481873, 0.011343852616846561, 0.9742000102996826, 0.09529183059930801
15, 0.9996444582939148, 0.009495065547525883, 0.9735999703407288, 0.09595224261283875
16, 0.9997777938842773, 0.008081171661615372, 0.9739999771118164, 0.09665604680776596
17, 0.9998666644096375, 0.006960849277675152, 0.974399983882904, 0.09745701402425766
18, 0.9999111294746399, 0.006081816274672747, 0.9746000170707703, 0.0981781929731369
19, 0.9999111294746399, 0.005367476027458906, 0.974399983882904, 0.09893696010112762
20, 0.9999111294746399, 0.004777112975716591, 0.9742000102996826, 0.09985049068927765
21, 0.9999555349349976, 0.004287718329578638, 0.9742000102996826, 0.10048966854810715
22, 0.9999555349349976, 0.0038747964426875114, 0.9746000170707703, 0.10125109553337097
23, 0.9999777674674988, 0.003522964194417, 0.9746000170707703, 0.10201793909072876
24, 0.9999777674674988, 0.0032237619161605835, 0.974399983882904, 0.10262461006641388
25, 0.9999777674674988, 0.002962898463010788, 0.9746000170707703, 0.10328337550163269
26, 0.9999777674674988, 0.002736474620178342, 0.9746000170707703, 0.10390673577785492
27, 1.0, 0.00253859325312078, 0.9746000170707703, 0.10446164757013321
28, 1.0, 0.002366790547966957, 0.9746000170707703, 0.10501647740602493
29, 1.0, 0.0022139111533761024, 0.9746000170707703, 0.10555083304643631
30, 1.0, 0.0020755634177476168, 0.9747999906539917, 0.10605862736701965
31, 1.0, 0.0019533296581357718, 0.9747999906539917, 0.10661067813634872
32, 1.0, 0.001844195881858468, 0.9747999906539917, 0.10703475028276443
33, 1.0, 0.0017443438991904259, 0.9747999906539917, 0.10758264362812042
34, 1.0, 0.0016532699810341, 0.9750000238418579, 0.10806120932102203
35, 1.0, 0.001572212902829051, 0.9750000238418579, 0.10850280523300171
36, 1.0, 0.0014962985878810287, 0.9747999906539917, 0.1089412122964859
37, 1.0, 0.001426921458914876, 0.9746000170707703, 0.10932863503694534
38, 1.0, 0.00136344984639436, 0.9746000170707703, 0.1097666472196579
39, 1.0, 0.001305041485466063, 0.9750000238418579, 0.11018329858779907
40, 1.0, 0.0012506234925240278, 0.9750000238418579, 0.11057799309492111
41, 1.0, 0.0012004668824374676, 0.9750000238418579, 0.11086994409561157
42, 1.0, 0.00115341751370579, 0.9750000238418579, 0.11132331192493439
43, 1.0, 0.0011099014664068818, 0.9750000238418579, 0.11167781054973602
44, 1.0, 0.0010691097704693675, 0.9747999906539917, 0.11201407760381699
45, 1.0, 0.0010310698999091983, 0.9750000238418579, 0.1123625636100769
46, 1.0, 0.0009952213149517775, 0.9750000238418579, 0.11270187795162201
47, 1.0, 0.0009616126772016287, 0.9750000238418579, 0.113063745200634
48, 1.0, 0.0009301272802986205, 0.9751999974250793, 0.11341577023267746
49, 1.0, 0.000900454877410084, 0.9750000238418579, 0.11367696523666382
