dataset_name,dataset_size,dataset_offset,dataset_file,dataset_fmt,image_width,image_height,model_dir,rnd_seed_search,batch_size_search,perturb_bn,perturb_ratio,search_mode,max_iteration,err_num_search
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,0,0,20,0
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,0.01,0,20,1261
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,0.1,0,20,4992
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,1.0,0,20,5000
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,0.01,N/A,N/A, 0
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,0.1,N/A,N/A, 0
mnist,5000,0,N/A,N/A,N/A,N/A,model,1,10,0,1.0,N/A,N/A, 0
