dataset_name,dataset_size,dataset_offset,dataset_file,dataset_fmt,image_width,image_height,model_dir,rnd_seed_search,batch_size_search,perturb_bn,perturb_ratio,search_mode,max_iteration,err_num_search,rnd_seed_measure,batch_size_measure,err_thr,err_thr_practical,delta,delta0_ratio,perturb_sample_size,err_num_random,err_num,test_err_wst,test_err_avr,gen_risk_ub,test_risk_ub,conf_risk,conf0_risk,non_det_rate_ub,gen_err_thr_ub,gen_err_ub,test_err_ub,test_err,conf_err,conf0_err
mnist, 5000, 0, N/A, N/A, N/A, N/A, model, 1, 10, 0, 0, 0, 20, 0, 1, 0, 0.01, 0.009995888447909884, 0.1, 0.5, 1146, 186, 186, 0.0372, 0.0372, 0.04322972412916281, 0.0372, 0.9, 1, 1, 0, 0.04322972412916281, 0.0372, 0.0372, 0.9, 1
mnist, 5000, 0, N/A, N/A, N/A, N/A, model, 1, 10, 0, 0.01, 0, 20, 1261, 1, 0, 0.01, 0.009996526219660407, 0.1, 0.5, 1117, 0, 1261, 0.0, 0.0, 0.26742707099709984, 0.2522, 0.9, 0.95, 0.7608249209526623, 0.007608249209526624, N/A, N/A, N/A, N/A, N/A
mnist, 5000, 0, N/A, N/A, N/A, N/A, model, 1, 10, 0, 0.1, 0, 20, 4992, 1, 0, 0.01, 0.009999518152602471, 0.1, 0.5, 505, 0, 4992, 0.0, 0.0, 1.0, 0.9984, 0.9, 0.95, 0.003136092448593237, 3.136092448593237e-05, N/A, N/A, N/A, N/A, N/A
mnist, 5000, 0, N/A, N/A, N/A, N/A, model, 1, 10, 0, 1.0, 0, 20, 5000, 1, 0, 0.01, 0, 0.1, 0.5, 0, 0, 5000, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, N/A, N/A, N/A, N/A, N/A
mnist, 5000, 0, N/A, N/A, N/A, N/A, model, 1, 10, 0, 0.01, N/A, N/A,  0, 1, 0, 0.01, 0.009995888447909884, 0.1, 0.5, 1146, 207, 207, 0.0414, 0.037520767888307154, 0.048664973268593384, 0.0414, 0.9, 0.95, 1.0, 0.01, 0.06647188701452102, 0.052897920121765085, 0.037520767888307154, 0.9, 0.95
mnist, 5000, 0, N/A, N/A, N/A, N/A, model, 1, 10, 0, 0.1, N/A, N/A,  0, 1, 0, 0.01, 0.009995888447909884, 0.1, 0.5, 1146, 384, 384, 0.0768, 0.03840994764397906, 0.0863556838561923, 0.0768, 0.9, 0.95, 1.0, 0.01, 0.06762656278990861, 0.05393859237484311, 0.03840994764397906, 0.9, 0.95
mnist, 5000, 0, N/A, N/A, N/A, N/A, model, 1, 10, 0, 1.0, N/A, N/A,  0, 1, 0, 0.01, 0.009995888447909884, 0.1, 0.5, 1146, 5000, 5000, 1.0, 0.26888219895287957, 1.0, 1.0, 1.0, 1.0, 0, 0, 0.3279890900077637, 0.30170855243334965, 0.26888219895287957, 0.9, 0.95
