dataset_name,dataset_size,dataset_offset,dataset_file,dataset_fmt,image_width,image_height,model_dir,rnd_seed_search,batch_size_search,perturb_bn,perturb_ratio,search_mode,max_iteration,err_num_search
imagenet,1000,0,/Users/isobe/datasets/imagenet/1k-tfrecords/validation/validation-*-of-00128,tfrecord,299,299,inception_v3,1,10,0,0,0,20,0
imagenet,1000,0,/Users/isobe/datasets/imagenet/1k-tfrecords/validation/validation-*-of-00128,tfrecord,299,299,inception_v3,1,10,0,0.0001,0,20,320
imagenet,1000,0,/Users/isobe/datasets/imagenet/1k-tfrecords/validation/validation-*-of-00128,tfrecord,299,299,inception_v3,1,10,0,0.0001,N/A,N/A, 0
