dataset_name,dataset_size,dataset_offset,dataset_file,dataset_fmt,image_width,image_height,model_dir,rnd_seed_search,batch_size_search,perturb_bn,perturb_ratio,search_mode,max_iteration,err_num_search,rnd_seed_measure,batch_size_measure,err_thr,err_thr_practical,delta,delta0_ratio,perturb_sample_size,err_num_random,err_num,test_err_wst,test_err_avr,gen_risk_ub,test_risk_ub,conf_risk,conf0_risk,non_det_rate_ub,gen_err_thr_ub,gen_err_ub,test_err_ub,test_err,conf_err,conf0_err
imagenet, 1000, 0, /Users/isobe/datasets/imagenet/1k-tfrecords/validation/validation-*-of-00128, tfrecord, 299, 299, inception_v3, 1, 10, 0, 0, 0, 20, 0, 1, 0, 0.02, 0.019967981339359064, 0.1, 0.5, 491, 224, 224, 0.224, 0.224, 0.2531128200487077, 0.224, 0.9, 1, 1, 0, 0.2531128200487077, 0.224, 0.224, 0.9, 1
imagenet, 1000, 0, /Users/isobe/datasets/imagenet/1k-tfrecords/validation/validation-*-of-00128, tfrecord, 299, 299, inception_v3, 1, 10, 0, 0.0001, 0, 20, 320, 1, 0, 0.02, 0.019962932081816098, 0.1, 0.5, 472, 0, 320, 0.0, 0.0, 0.35677459289496233, 0.32, 0.9, 0.95, 0.7110698860787811, 0.014221397721575622, N/A, N/A, N/A, N/A, N/A
imagenet, 1000, 0, /Users/isobe/datasets/imagenet/1k-tfrecords/validation/validation-*-of-00128, tfrecord, 299, 299, inception_v3, 1, 10, 0, 0.0001, N/A, N/A,  0, 1, 0, 0.02, 0.019967981339359064, 0.1, 0.5, 491, 227, 227, 0.227, 0.22429735234215886, 0.26047321234039456, 0.227, 0.9, 0.95, 1.0, 0.02, 0.32770163858814905, 0.27249565902708456, 0.22429735234215886, 0.9, 0.95
